   EM         F1         Loss
0  0.889741   2.342876   10.491325
1  2.655534   3.441021   9.587132
2  7.295873   7.901514   9.196621
3  10.601602  11.544256  8.174625
4  7.528574   9.454340   7.139952
5  9.136952   11.563340  6.442510
6  19.533228  21.136815  4.998721
7  24.830607  25.909903  4.662523
8  25.959893  27.487242  3.556570
9  28.129491  29.641207  3.159864
10 27.226063  29.418459  3.300504
11 31.845870  32.987629  2.551882
12 28.314284  30.676303  2.270358
13 32.304428  33.558727  1.903383
14 31.934844  33.487435  1.797683
15 33.974403  35.231795  1.921704
16 34.563000  35.593814  1.621530
17 35.776902  36.661223  1.600127
18 35.267949  36.188500  1.471587
19 35.918144  36.627337  1.482242
20 35.603313  36.658806  1.355391
21 35.090001  36.164308  1.222033
22 35.979741  36.873448  1.245507
23 36.445144  37.061157  1.124379
24 36.896859  37.369747  1.043729
25 36.835261  37.252669  1.072491
