id,value
id_0,27.96
id_1,61.16
id_2,15.8
id_3,22.4
id_4,12.04
id_5,36.4
id_6,40.2
id_7,17.16
id_8,48.12
id_9,45.2
id_10,40.64
id_11,65.2
id_12,30.0
id_13,44.0
id_14,19.2
id_15,10.2
id_16,56.52
id_17,19.8
id_18,16.24
id_19,18.6
id_20,14.52
id_21,24.84
id_22,42.8
id_23,0.5999999999999996
id_24,68.6
id_25,57.2
id_26,29.76
id_27,8.6
id_28,29.24
id_29,45.0
id_30,22.8
id_31,11.36
id_32,12.8
id_33,3.76
id_34,13.6
id_35,36.0
id_36,17.8
id_37,27.4
id_38,5.4
id_39,73.8
id_40,47.64
id_41,5.799999999999999
id_42,56.8
id_43,16.12
id_44,49.4
id_45,50.0
id_46,67.8
id_47,38.6
id_48,62.2
id_49,54.8
id_50,24.8
id_51,20.96
id_52,50.08
id_53,29.56
id_54,40.6
id_55,42.6
id_56,27.08
id_57,20.08
id_58,37.2
id_59,25.0
id_60,17.2
id_61,10.600000000000001
id_62,31.12
id_63,66.0
id_64,58.8
id_65,29.16
id_66,43.8
id_67,57.48
id_68,29.44
id_69,40.44
id_70,66.52
id_71,52.0
id_72,52.0
id_73,11.12
id_74,11.84
id_75,36.0
id_76,67.8
id_77,0.0
id_78,44.2
id_79,40.84
id_80,5.8
id_81,21.04
id_82,10.0
id_83,38.4
id_84,9.12
id_85,0.0
id_86,20.8
id_87,10.36
id_88,1.0
id_89,22.36
id_90,37.8
id_91,11.64
id_92,4.800000000000001
id_93,9.6
id_94,41.2
id_95,7.6
id_96,16.2
id_97,6.12
id_98,13.8
id_99,0.0
id_100,12.16
id_101,18.96
id_102,7.4
id_103,2.88
id_104,16.76
id_105,47.0
id_106,25.68
id_107,3.0
id_108,11.8
id_109,19.56
id_110,8.6
id_111,16.6
id_112,11.6
id_113,31.6
id_114,26.4
id_115,12.0
id_116,10.0
id_117,50.6
id_118,30.6
id_119,0.0
id_120,2.0
id_121,12.0
id_122,18.6
id_123,13.4
id_124,3.96
id_125,26.44
id_126,24.92
id_127,12.72
id_128,16.48
id_129,14.84
id_130,2.96
id_131,42.4
id_132,10.6
id_133,29.6
id_134,26.16
id_135,23.68
id_136,9.8
id_137,19.56
id_138,90.2
id_139,70.64
id_140,30.48
id_141,21.8
id_142,31.2
id_143,3.0
id_144,12.0
id_145,7.6
id_146,20.56
id_147,6.08
id_148,10.0
id_149,17.44
id_150,67.8
id_151,15.36
id_152,22.44
id_153,14.52
id_154,8.6
id_155,24.0
id_156,22.6
id_157,41.8
id_158,0.0
id_159,21.8
id_160,38.48
id_161,19.2
id_162,52.2
id_163,18.28
id_164,44.6
id_165,27.36
id_166,18.6
id_167,0.0
id_168,71.76
id_169,17.28
id_170,17.28
id_171,83.2
id_172,22.8
id_173,1.16
id_174,15.200000000000001
id_175,0.0
id_176,5.0
id_177,8.399999999999999
id_178,21.84
id_179,19.48
id_180,46.8
id_181,33.72
id_182,31.88
id_183,12.04
id_184,8.8
id_185,43.4
id_186,40.8
id_187,39.4
id_188,11.72
id_189,23.52
id_190,12.48
id_191,13.44
id_192,37.0
id_193,86.0
id_194,32.52
id_195,9.2
id_196,64.0
id_197,18.64
id_198,22.2
id_199,20.0
id_200,166.8
id_201,26.12
id_202,62.96
id_203,0.0
id_204,63.2
id_205,48.0
id_206,22.4
id_207,14.88
id_208,77.6
id_209,0.0
id_210,34.4
id_211,70.6
id_212,20.8
id_213,112.8
id_214,47.0
id_215,76.4
id_216,116.0
id_217,74.08
id_218,32.56
id_219,8.8
id_220,24.4
id_221,43.6
id_222,29.44
id_223,46.12
id_224,48.12
id_225,4.92
id_226,2.16
id_227,87.2
id_228,26.2
id_229,0.0
id_230,39.16
id_231,13.8
id_232,23.08
id_233,4.32
id_234,11.6
id_235,28.4
id_236,15.4
id_237,0.0
id_238,24.92
id_239,0.0
