id,value
id_0,28.0
id_1,61.0
id_2,22.0
id_3,29.0
id_4,12.0
id_5,29.0
id_6,41.0
id_7,18.0
id_8,49.0
id_9,35.0
id_10,40.0
id_11,62.0
id_12,41.0
id_13,35.0
id_14,28.0
id_15,12.0
id_16,58.0
id_17,20.0
id_18,16.0
id_19,18.0
id_20,14.0
id_21,25.0
id_22,38.0
id_23,7.0
id_24,62.0
id_25,48.0
id_26,29.0
id_27,9.0
id_28,29.0
id_29,36.0
id_30,16.0
id_31,11.0
id_32,15.0
id_33,4.0
id_34,18.0
id_35,45.0
id_36,23.0
id_37,32.0
id_38,5.0
id_39,63.0
id_40,47.0
id_41,18.0
id_42,52.0
id_43,17.0
id_44,47.0
id_45,56.0
id_46,68.0
id_47,39.0
id_48,53.0
id_49,42.0
id_50,32.0
id_51,21.0
id_52,50.0
id_53,29.0
id_54,39.0
id_55,43.0
id_56,27.0
id_57,20.0
id_58,43.0
id_59,35.0
id_60,12.0
id_61,28.0
id_62,31.0
id_63,54.0
id_64,52.0
id_65,29.0
id_66,42.0
id_67,58.0
id_68,29.0
id_69,41.0
id_70,66.0
id_71,57.0
id_72,43.0
id_73,11.0
id_74,12.0
id_75,36.0
id_76,63.0
id_77,4.0
id_78,51.0
id_79,41.0
id_80,6.0
id_81,21.0
id_82,10.0
id_83,39.0
id_84,9.0
id_85,3.0
id_86,16.0
id_87,11.0
id_88,12.0
id_89,22.0
id_90,31.0
id_91,11.0
id_92,13.0
id_93,10.0
id_94,35.0
id_95,14.0
id_96,13.0
id_97,6.0
id_98,10.0
id_99,3.0
id_100,12.0
id_101,20.0
id_102,7.0
id_103,3.0
id_104,17.0
id_105,37.0
id_106,26.0
id_107,10.0
id_108,20.0
id_109,20.0
id_110,10.0
id_111,12.0
id_112,13.0
id_113,26.0
id_114,25.0
id_115,14.0
id_116,15.0
id_117,40.0
id_118,28.0
id_119,1.0
id_120,2.0
id_121,12.0
id_122,15.0
id_123,13.0
id_124,4.0
id_125,26.0
id_126,25.0
id_127,13.0
id_128,16.0
id_129,15.0
id_130,3.0
id_131,36.0
id_132,17.0
id_133,33.0
id_134,26.0
id_135,23.0
id_136,11.0
id_137,20.0
id_138,80.0
id_139,71.0
id_140,30.0
id_141,15.0
id_142,26.0
id_143,7.0
id_144,16.0
id_145,8.0
id_146,20.0
id_147,6.0
id_148,12.0
id_149,17.0
id_150,48.0
id_151,15.0
id_152,22.0
id_153,14.0
id_154,18.0
id_155,29.0
id_156,17.0
id_157,36.0
id_158,1.0
id_159,16.0
id_160,39.0
id_161,19.0
id_162,50.0
id_163,18.0
id_164,40.0
id_165,27.0
id_166,19.0
id_167,0.0
id_168,71.0
id_169,18.0
id_170,17.0
id_171,70.0
id_172,21.0
id_173,2.0
id_174,26.0
id_175,0.0
id_176,7.0
id_177,18.0
id_178,22.0
id_179,19.0
id_180,43.0
id_181,34.0
id_182,33.0
id_183,13.0
id_184,8.0
id_185,43.0
id_186,36.0
id_187,32.0
id_188,12.0
id_189,23.0
id_190,12.0
id_191,13.0
id_192,33.0
id_193,85.0
id_194,33.0
id_195,11.0
id_196,63.0
id_197,18.0
id_198,20.0
id_199,23.0
id_200,134.0
id_201,26.0
id_202,62.0
id_203,4.0
id_204,66.0
id_205,34.0
id_206,16.0
id_207,16.0
id_208,68.0
id_209,13.0
id_210,34.0
id_211,75.0
id_212,24.0
id_213,131.0
id_214,39.0
id_215,89.0
id_216,93.0
id_217,73.0
id_218,33.0
id_219,24.0
id_220,31.0
id_221,57.0
id_222,29.0
id_223,45.0
id_224,49.0
id_225,5.0
id_226,3.0
id_227,72.0
id_228,26.0
id_229,0.0
id_230,39.0
id_231,14.0
id_232,22.0
id_233,4.0
id_234,17.0
id_235,21.0
id_236,15.0
id_237,0.0
id_238,26.0
id_239,0.0
